logKd,PH,Salinity,Temperature,Water Type
0.83,6.0,0.03,25.0,DI
2.83,6.0,0.03,25.0,DI
3.28,6.0,0.03,25.0,DI
0.25,6.0,0.03,25.0,DI
0.93,6.0,0.03,25.0,DI
2.15,6.0,0.03,25.0,DI
3.22,6.0,0.03,25.0,DI
3.03,6.0,0.03,25.0,DI
1.63,6.0,0.03,25.0,DI
1.45,6.0,0.03,25.0,DI
3.35,6.0,0.03,25.0,DI
2.73,6.0,0.03,25.0,DI
3.29,6.0,0.03,25.0,DI
3.22,6.0,0.03,25.0,DI
2.23,6.0,0.03,25.0,DI
3.88,6.0,0.03,25.0,DI
3.64,6.0,0.03,25.0,DI
3.17,6.0,0.03,25.0,DI
3.11,6.0,0.03,25.0,DI
4.45,6.0,0.03,25.0,DI
2.15,6.0,0.03,25.0,DI
2.3,6.0,0.03,25.0,DI
2.88,6.0,0.03,25.0,DI
3.28,6.0,0.03,25.0,DI
3.78,6.0,0.03,25.0,DI
3.52,6.0,0.03,25.0,DI
3.35,6.0,0.03,25.0,DI
2.4,6.0,0.03,25.0,DI
2.98,6.0,0.03,25.0,DI
2.62,6.0,0.03,25.0,DI
3.78,6.0,0.03,25.0,DI
2.8,6.0,0.03,25.0,DI
2.16,6.0,0.03,25.0,DI
3.93,6.0,0.03,25.0,DI
3.91,6.0,0.03,25.0,DI
2.37,6.0,0.03,25.0,DI
3.29,6.0,0.03,25.0,DI
4.68,6.0,0.03,25.0,DI
2.3,6.0,0.03,25.0,DI
2.29,6.0,0.03,25.0,DI
3.0,6.0,0.03,25.0,DI
3.42,6.0,0.03,25.0,DI
3.95,6.0,0.03,25.0,DI
3.7,6.0,0.03,25.0,DI
3.52,6.0,0.03,25.0,DI
2.49,6.0,0.03,25.0,DI
3.16,6.0,0.03,25.0,DI
2.94,6.0,0.03,25.0,DI
4.04,6.0,0.03,25.0,DI
2.97,6.0,0.03,25.0,DI
2.81,7.7,0.7,20.0,S
2.82,7.78,0.022,20.0,F
2.68,7.7,0.7,20.0,S
3.04,7.0,0.0,25.0,DI
1.82,7.0,0.0,25.0,DI
1.13,5.8,0.01,25.0,DI
1.77,5.8,0.01,25.0,DI
3.86,7.0,0.0026,25.0,DI
3.38,7.0,0.0026,25.0,DI
3.37,7.0,0.0026,25.0,DI
2.93,7.0,0.03,20.0,DI
2.44,7.0,0.03,20.0,DI
3.51,8.1,0.7,,S
3.88,8.1,0.7,,S
3.06,8.1,0.7,,S
4.86,8.1,0.7,,S
4.69,8.1,0.7,,S
4.28,8.1,0.7,,S
4.93,8.1,0.7,,S
4.96,8.1,0.7,,S
4.23,7.0,0.0005,25.0,DI
4.42,7.0,0.0005,25.0,DI
4.34,7.0,0.05,25.0,DI
3.26,7.0,,20.0,SF
3.24,7.0,,20.0,SF
3.2,7.0,,20.0,SF
3.18,7.0,,20.0,SF
3.18,7.0,,20.0,SF
2.34,7.0,,20.0,SF
2.3,7.0,,20.0,SF
2.28,7.0,,20.0,SF
2.25,7.0,,20.0,SF
2.25,7.0,,20.0,SF
2.32,7.0,,20.0,SF
2.26,7.0,,20.0,SF
2.23,7.0,,20.0,SF
2.19,7.0,,20.0,SF
2.19,7.0,,20.0,SF
1.5,6.5,0.01,25.0,DI
2.87,6.0,0.0,25.0,DI
2.33,6.0,0.0,25.0,DI
2.33,6.0,0.0,25.0,DI
2.08,6.0,0.0,25.0,DI
2.09,6.0,0.0,25.0,DI
1.05,6.0,0.0,25.0,DI
1.64,6.5,0.01,25.0,DI
2.65,6.5,0.01,25.0,DI
4.01,7.0,0.03,25.0,DI
4.79,7.1,0.0,25.0,DI
3.37,7.1,0.0,25.0,DI
2.91,7.1,0.0,25.0,DI
2.05,7.1,0.0,25.0,DI
1.64,7.1,0.0,25.0,DI
1.62,7.1,0.0,25.0,DI
1.45,7.1,0.0,25.0,DI
1.39,7.1,0.0,25.0,DI
1.15,7.1,0.0,25.0,DI
1.2,7.1,0.0,25.0,DI
0.9,6.0,0.0,25.0,DI
2.9,6.0,0.0,25.0,DI
0.95,6.0,0.0,25.0,DI
2.95,6.0,0.0,25.0,DI
1.23,6.0,0.0,25.0,DI
3.31,6.0,0.0,25.0,DI
2.13,5.5,0.0,25.0,DI
2.07,5.5,0.0,25.0,DI
1.8,5.5,0.0,25.0,DI
2.07,5.5,0.0,25.0,DI
2.01,5.5,0.0,25.0,DI
1.78,5.5,0.0,25.0,DI
1.89,5.5,0.0,25.0,DI
1.31,7.0,0.01,25.0,SF
1.22,7.8,0.0,25.0,F
0.96,7.0,0.01,25.0,SF
1.21,7.8,0.0,25.0,F
0.81,7.0,0.01,25.0,SF
0.93,7.8,0.0,25.0,F
0.72,7.0,0.01,25.0,SF
0.84,7.8,0.0,25.0,F
1.11,7.1,0.0,25.0,DI
0.87,7.1,0.0,25.0,DI
1.15,7.1,0.0,25.0,DI
0.3,7.1,0.0,25.0,DI
1.28,7.1,0.0,25.0,DI
-0.25,7.1,0.0,25.0,DI
4.94,7.1,0.0,25.0,DI
0.19,7.1,0.0,25.0,DI
0.68,7.1,0.0,25.0,DI
3.06,7.1,0.0,25.0,DI
2.93,6.0,0.0,25.0,DI
1.5,6.0,0.0,25.0,DI
1.65,6.0,0.0,25.0,DI
1.16,6.0,0.0,25.0,DI
2.45,6.0,0.0,25.0,DI
1.51,6.0,0.0,25.0,DI
2.44,6.0,0.0,25.0,DI
0.84,6.0,0.0,25.0,DI
3.13,6.0,0.0,25.0,DI
4.56,8.1,0.7,18.0,S
3.29,8.1,0.7,18.0,S
3.36,8.1,0.7,18.0,S
3.37,8.1,0.7,18.0,S
3.52,6.0,0.0,25.0,DI
3.61,6.0,0.0,25.0,DI
3.62,6.0,0.0,25.0,DI
3.74,6.0,0.0,25.0,DI
4.1,6.0,0.0,25.0,DI
4.2,6.0,0.0,25.0,DI
4.27,6.0,0.0,25.0,DI
1.73,6.0,0.0,25.0,DI
2.15,6.0,0.0,25.0,DI
2.43,6.0,0.0,25.0,DI
2.57,6.0,0.0,25.0,DI
2.84,6.0,0.0,25.0,DI
3.19,6.0,0.0,25.0,DI
3.19,6.0,0.0,25.0,DI
2.35,6.0,0.0,20.0,DI
2.49,6.0,0.0,20.0,DI
2.59,6.0,0.0,20.0,DI
2.75,6.0,0.0,20.0,DI
2.84,6.0,0.0,20.0,DI
2.13,6.0,0.0,20.0,DI
2.33,6.0,0.0,20.0,DI
2.45,6.0,0.0,20.0,DI
1.93,6.0,0.0,20.0,DI
2.28,6.0,0.0,20.0,DI
2.48,6.0,0.0,20.0,DI
4.84,8.0,0.6,25.0,SS
4.17,8.0,0.6,25.0,SS
4.13,8.0,0.6,25.0,SS
3.15,8.0,0.6,25.0,SS
2.82,6.85,0.03,24.0,DI
3.34,6.85,0.03,24.0,DI
3.5,6.85,0.03,24.0,DI
2.34,7.0,0.0,25.0,DI
2.47,7.0,0.0,25.0,DI
3.65,7.23,0.0036,25.0,SF
3.8,7.45,0.0053,25.0,F
3.57,7.23,0.0036,25.0,SF
3.89,7.45,0.0053,25.0,F
4.22,7.23,0.0036,25.0,SF
4.3,7.45,0.0053,25.0,F
4.82,7.23,0.0036,25.0,SF
4.82,7.45,0.0053,25.0,F
3.62,7.23,0.0036,25.0,SF
3.55,7.45,0.0053,25.0,F
3.8,7.23,0.0036,25.0,SF
3.68,7.45,0.0053,25.0,F
4.02,7.23,0.0036,25.0,SF
4.03,7.45,0.0053,25.0,F
4.32,7.23,0.0036,25.0,SF
4.19,7.45,0.0053,25.0,F
3.92,7.23,0.0036,25.0,SF
4.04,7.45,0.0053,25.0,F
4.0,7.23,0.0036,25.0,SF
4.3,7.45,0.0053,25.0,F
4.09,7.23,0.0036,25.0,SF
4.56,7.45,0.0053,25.0,F
4.94,7.23,0.0036,25.0,SF
4.63,7.45,0.0053,25.0,F
4.12,7.23,0.0036,25.0,SF
3.98,7.45,0.0053,25.0,F
3.98,7.23,0.0036,25.0,SF
3.81,7.45,0.0053,25.0,F
4.15,7.23,0.0036,25.0,SF
4.56,7.45,0.0053,25.0,F
5.12,7.23,0.0036,25.0,SF
5.12,7.45,0.0053,25.0,F
4.05,7.23,0.0036,25.0,SF
4.08,7.45,0.0053,25.0,F
4.08,7.23,0.0036,25.0,SF
4.12,7.45,0.0053,25.0,F
4.39,7.23,0.0036,25.0,SF
4.05,7.45,0.0053,25.0,F
4.98,7.23,0.0036,25.0,SF
4.99,7.45,0.0053,25.0,F
3.47,7.23,0.0036,25.0,SF
3.44,7.45,0.0053,25.0,F
3.65,7.23,0.0036,25.0,SF
3.59,7.45,0.0053,25.0,F
3.7,7.23,0.0036,25.0,SF
3.74,7.45,0.0053,25.0,F
3.77,7.23,0.0036,25.0,SF
3.83,7.45,0.0053,25.0,F
2.93,7.23,0.0036,25.0,SF
2.99,7.45,0.0053,25.0,F
2.85,7.23,0.0036,25.0,SF
2.86,7.45,0.0053,25.0,F
2.92,7.23,0.0036,25.0,SF
2.92,7.45,0.0053,25.0,F
3.12,7.23,0.0036,25.0,SF
3.13,7.45,0.0053,25.0,F
3.89,8.1,0.5,25.0,SS
3.65,8.1,0.5,25.0,SS
3.42,8.1,0.5,25.0,SS
3.92,8.1,0.5,25.0,SS
3.89,8.1,0.5,25.0,SS
3.81,8.1,0.5,25.0,SS
3.42,8.1,0.5,25.0,SS
1.76,8.1,0.5,25.0,SS
3.41,8.1,0.5,25.0,SS
3.38,8.1,0.5,25.0,SS
1.53,8.1,0.5,25.0,SS
4.18,7.0,0.0,25.0,DI
2.01,7.0,0.0,25.0,DI
2.55,7.0,0.0,25.0,DI
4.06,7.0,0.0,25.0,DI
1.57,7.0,0.0,25.0,DI
2.87,7.0,0.0,25.0,DI
4.35,7.0,0.0,25.0,DI
2.97,7.0,0.0,25.0,DI
3.06,7.0,0.0,25.0,DI
4.25,7.0,0.0,25.0,DI
3.19,7.0,0.0,25.0,DI
4.05,7.0,0.0,25.0,DI
2.8,7.0,0.0,25.0,DI
2.26,7.0,0.0,25.0,DI
2.79,7.0,0.0,25.0,DI
3.02,8.1,0.6,25.0,SS
2.7,7.0,0.0,25.0,DI
3.06,7.0,0.0,25.0,DI
3.29,8.1,0.6,25.0,SS
3.1,7.0,0.0,25.0,DI
3.02,8.1,0.6,25.0,SS
2.72,7.0,0.0,25.0,DI
2.77,8.1,0.6,25.0,SS
5.18,6.0,0.03,25.0,DI
4.28,6.0,0.03,25.0,DI
2.26,6.0,0.03,25.0,DI
2.81,6.0,0.03,25.0,DI
1.94,6.0,0.03,25.0,DI
5.21,6.0,0.03,25.0,DI
4.56,6.0,0.03,25.0,DI
2.95,6.0,0.03,25.0,DI
2.77,6.0,0.03,25.0,DI
1.82,6.0,0.03,25.0,DI
3.03,6.0,0.03,25.0,DI
3.03,6.0,0.03,25.0,DI
1.95,6.0,0.03,25.0,DI
4.11,6.0,0.03,25.0,DI
2.8,6.0,0.03,25.0,DI
3.27,6.0,0.03,25.0,DI
2.79,6.0,0.03,25.0,DI
3.91,6.0,0.03,25.0,DI
3.95,6.0,0.03,25.0,DI
0.19,7.5,0.03,25.0,DI
0.17,7.5,0.03,25.0,DI
0.14,7.5,0.03,25.0,DI
-0.73,7.5,0.03,25.0,DI
-0.56,7.5,0.03,25.0,DI
1.66,7.5,0.03,25.0,DI
2.39,7.5,0.03,25.0,DI
-0.18,7.5,0.03,25.0,DI
0.12,7.5,0.03,25.0,DI
0.3,7.5,0.03,25.0,DI
-1.02,7.5,0.03,25.0,DI
-0.72,7.5,0.03,25.0,DI
-1.05,7.5,0.03,25.0,DI
0.19,7.5,0.03,25.0,DI
0.33,7.5,0.03,25.0,DI
-0.74,7.5,0.03,25.0,DI
-1.05,7.5,0.03,25.0,DI
0.19,7.5,0.03,25.0,DI
2.29,7.5,0.03,25.0,DI
-0.15,7.5,0.03,25.0,DI
-0.25,7.5,0.03,25.0,DI
0.26,7.5,0.03,25.0,DI
-0.85,7.5,0.03,25.0,DI
-0.85,7.5,0.03,25.0,DI
-0.85,7.5,0.03,25.0,DI
1.35,7.5,0.03,25.0,DI
2.41,7.5,0.03,25.0,DI
2.09,7.0,0.0,25.0,DI
2.36,7.0,0.0,25.0,DI
2.41,7.0,0.0,25.0,DI
1.97,7.0,0.0,25.0,DI
2.45,7.0,0.0,25.0,DI
