logKd,LogKow,E,S,A,B,V
3.74,3.93,0.98,0.73,0.0,0.0,1.0836
4.08,3.93,0.98,0.73,0.0,0.0,1.0836
4.21,3.93,0.98,0.81,0.0,0.0,1.0836
4.45,3.93,0.98,0.81,0.0,0.0,1.0836
4.48,4.99,1.33,0.92,0.06,0.0,1.3284
4.61,4.99,1.33,0.92,0.06,0.0,1.3284
4.55,5.86,1.49,0.99,0.0,0.0,1.4508
4.64,5.86,1.49,0.99,0.0,0.0,1.4508
4.6,5.31,0.99,1.72,0.0,0.6,2.204
4.81,5.31,0.99,1.72,0.0,0.6,2.204
1.16,2.16,0.92,1.08,0.67,0.21,0.8975
1.2,2.16,0.92,1.08,0.67,0.21,0.8975
1.17,2.16,0.92,1.08,0.67,0.21,0.8975
1.61,2.8,0.96,0.82,0.54,0.17,1.0199
1.48,2.8,0.96,0.82,0.54,0.17,1.0199
1.39,2.8,0.96,0.82,0.54,0.17,1.0199
1.16,3.45,1.01,0.8,0.6,0.15,1.1423
0.89,3.45,1.01,0.8,0.6,0.15,1.1423
0.8,3.45,1.01,0.8,0.6,0.15,1.1423
4.01,0.0,2.2,2.34,0.7,2.52,2.3047
3.71,0.0,2.2,2.34,0.7,2.52,2.3047
1.18,2.71,0.73,1.39,0.0,0.89,1.7106
3.26,4.67,0.73,1.39,0.0,0.89,1.7106
3.19,4.52,0.68,1.21,0.0,0.95,2.2742
0.76,3.64,1.61,1.56,0.99,0.91,1.8643
2.59,3.17,1.34,0.92,0.0,0.2,1.0854
3.91,4.35,2.06,1.29,0.0,0.29,1.4544
0.86,2.82,1.22,1.29,0.17,1.01,1.6196
1.81,2.67,1.28,1.6,0.57,0.7,1.5992
0.96,2.69,1.52,1.05,0.61,0.37,1.1441
2.1,2.99,1.6,1.59,0.0,0.29,1.2596
3.36,3.81,1.42,1.0,0.0,0.14,1.2078
3.16,3.72,1.34,0.94,0.0,0.22,1.2263
1.67,3.97,0.83,0.95,0.53,0.41,1.4796
1.47,3.15,0.86,0.76,0.51,0.43,1.1978
2.42,3.52,0.6,0.5,0.0,0.15,1.1391
2.23,2.88,0.88,0.73,0.0,0.09,0.8914
3.2,3.76,1.36,0.99,0.0,0.26,1.3242
2.55,3.09,0.62,0.52,0.0,0.16,0.9982
