logKd,MPs types,Ageing_Status,Water Type,Plastic Density,SSA,Particle Size,LogKow,E,S,A,B,V,PH,Salinity,Temperature
4.63,PE,Pristine,Freshwater,0.95,235.8,95.0,6.34,1.9,1.48,0.0,0.15,1.8138,7.0,0.008,20.0
5.63,PE,Pristine,Freshwater,0.95,246.4,95.0,6.34,1.91,1.46,0.0,0.13,1.8138,7.0,0.008,20.0
4.7,PE,Pristine,Freshwater,0.95,251.6,95.0,6.98,2.04,1.61,0.0,0.13,1.9362,7.0,0.008,20.0
5.01,PE,Pristine,Freshwater,0.95,259.4,95.0,6.98,2.04,1.59,0.0,0.11,1.9362,7.0,0.008,20.0
6.04,PE,Pristine,Freshwater,0.95,260.0,95.0,7.62,2.16,1.74,0.0,0.11,2.0586,7.0,0.008,20.0
5.32,PE,Pristine,Freshwater,0.95,262.0,95.0,7.21,2.06,1.59,0.0,0.11,1.9362,7.0,0.008,20.0
7.5,PE,Pristine,Freshwater,0.95,267.4,95.0,7.62,2.18,1.74,0.0,0.11,2.0586,7.0,0.008,20.0
7.27,PE,Pristine,Freshwater,0.95,275.0,95.0,7.86,2.21,1.72,0.0,0.09,2.0586,7.0,0.008,20.0
8.17,PE,Pristine,Freshwater,0.95,277.7,95.0,8.27,2.33,1.87,0.0,0.09,2.181,7.0,0.008,20.0
8.45,PE,Pristine,Freshwater,0.95,280.4,95.0,8.27,2.29,1.87,0.0,0.09,2.181,7.0,0.008,20.0
5.27,PE,Pristine,Freshwater,0.95,251.0,95.0,6.57,1.94,1.44,0.0,0.11,1.8138,7.0,0.008,20.0
5.01,PE,Pristine,Freshwater,0.95,266.6,95.0,7.06,2.11,1.57,0.0,0.09,1.9362,7.0,0.008,20.0
7.34,PE,Pristine,Freshwater,0.95,282.2,95.0,7.7,2.21,1.7,0.0,0.07,2.0586,7.0,0.008,20.0
3.51,PVC,Pristine,Seawater,1.4,,225.0,4.35,2.06,1.29,0.0,0.29,1.4544,8.1,0.7,18.0
4.69,PVC,Pristine,Seawater,1.4,,225.0,6.79,1.81,1.76,0.0,0.16,2.218,8.1,0.7,18.0
4.99,PVC,Pristine,Seawater,1.4,,225.0,8.39,0.64,1.25,0.0,1.02,3.4014,8.1,0.7,18.0
0.99,PE,Pristine,Seawater,0.95,,225.0,4.35,2.06,1.29,0.0,0.29,1.4544,8.1,0.7,18.0
2.67,PE,Pristine,Seawater,0.95,,225.0,6.79,1.81,1.76,0.0,0.16,2.218,8.1,0.7,18.0
5.0,PE,Pristine,Seawater,0.95,,225.0,8.39,0.64,1.25,0.0,1.02,3.4014,8.1,0.7,18.0
4.42,PE,Pristine,Seawater,0.95,,250.0,4.35,2.06,1.29,0.0,0.29,1.4544,8.1,0.7,25.0
3.85,PP,Pristine,Seawater,0.9,,250.0,4.35,2.06,1.29,0.0,0.29,1.4544,8.1,0.7,25.0
5.41,PS,Pristine,Seawater,1.05,,250.0,4.35,2.06,1.29,0.0,0.29,1.4544,8.1,0.7,25.0
5.5,PE,Pristine,Seawater,0.95,,250.0,4.8,2.38,1.55,0.0,0.24,1.5846,8.1,0.7,25.0
4.74,PP,Pristine,Seawater,0.9,,250.0,4.8,2.38,1.55,0.0,0.24,1.5846,8.1,0.7,25.0
5.93,PS,Pristine,Seawater,1.05,,250.0,4.8,2.38,1.55,0.0,0.24,1.5846,8.1,0.7,25.0
4.75,PE,Pristine,Seawater,0.95,,250.0,4.35,2.29,1.34,0.0,0.28,1.4544,8.1,0.7,25.0
4.24,PP,Pristine,Seawater,0.9,,250.0,4.35,2.29,1.34,0.0,0.28,1.4544,8.1,0.7,25.0
5.63,PS,Pristine,Seawater,1.05,,250.0,4.35,2.29,1.34,0.0,0.28,1.4544,8.1,0.7,25.0
5.55,PE,Pristine,Seawater,0.95,,250.0,4.93,2.81,1.71,0.0,0.28,1.5846,8.1,0.7,25.0
4.75,PP,Pristine,Seawater,0.9,,250.0,4.93,2.81,1.71,0.0,0.28,1.5846,8.1,0.7,25.0
5.86,PS,Pristine,Seawater,1.05,,250.0,4.93,2.81,1.71,0.0,0.28,1.5846,8.1,0.7,25.0
6.37,PE,Pristine,Seawater,0.95,,250.0,5.52,3.03,1.73,0.0,0.33,1.8234,8.1,0.7,25.0
5.46,PP,Pristine,Seawater,0.9,,250.0,5.52,3.03,1.73,0.0,0.33,1.8234,8.1,0.7,25.0
6.65,PS,Pristine,Seawater,1.05,,250.0,5.52,3.03,1.73,0.0,0.33,1.8234,8.1,0.7,25.0
7.15,PE,Pristine,Seawater,0.95,,250.0,7.22,3.63,1.98,0.0,0.44,1.9536,8.1,0.7,25.0
6.05,PP,Pristine,Seawater,0.9,,250.0,7.22,3.63,1.98,0.0,0.44,1.9536,8.1,0.7,25.0
6.94,PS,Pristine,Seawater,1.05,,250.0,7.22,3.63,1.98,0.0,0.44,1.9536,8.1,0.7,25.0
7.85,PE,Pristine,Seawater,0.95,,250.0,6.22,4.0,2.04,0.0,0.44,2.1924,8.1,0.7,25.0
6.95,PP,Pristine,Seawater,0.9,,250.0,6.22,4.0,2.04,0.0,0.44,2.1924,8.1,0.7,25.0
7.54,PS,Pristine,Seawater,1.05,,250.0,6.22,4.0,2.04,0.0,0.44,2.1924,8.1,0.7,25.0
7.59,PE,Pristine,Seawater,0.95,,250.0,6.7,4.07,1.9,0.0,0.45,2.0838,8.1,0.7,25.0
6.64,PP,Pristine,Seawater,0.9,,250.0,6.7,4.07,1.9,0.0,0.45,2.0838,8.1,0.7,25.0
7.17,PS,Pristine,Seawater,1.05,,250.0,6.7,4.07,1.9,0.0,0.45,2.0838,8.1,0.7,25.0
2.39,PE,Pristine,Seawater,0.95,,250.0,4.26,1.45,0.73,0.0,0.71,1.5798,8.1,0.7,25.0
2.64,PP,Pristine,Seawater,0.9,,250.0,4.26,1.45,0.73,0.0,0.71,1.5798,8.1,0.7,25.0
3.21,PS,Pristine,Seawater,1.05,,250.0,4.26,1.45,0.73,0.0,0.71,1.5798,8.1,0.7,25.0
2.02,PE,Pristine,Seawater,0.95,,250.0,4.26,1.45,0.88,0.0,0.69,1.5798,8.1,0.7,25.0
2.13,PP,Pristine,Seawater,0.9,,250.0,4.26,1.45,0.88,0.0,0.69,1.5798,8.1,0.7,25.0
2.65,PS,Pristine,Seawater,1.05,,250.0,4.26,1.45,0.88,0.0,0.69,1.5798,8.1,0.7,25.0
2.31,PE,Pristine,Seawater,0.95,,250.0,4.26,1.45,0.91,0.0,0.68,1.5798,8.1,0.7,25.0
2.53,PP,Pristine,Seawater,0.9,,250.0,4.26,1.45,0.91,0.0,0.68,1.5798,8.1,0.7,25.0
3.3,PS,Pristine,Seawater,1.05,,250.0,4.26,1.45,0.91,0.0,0.68,1.5798,8.1,0.7,25.0
2.06,PE,Pristine,Seawater,0.95,,250.0,4.26,1.45,0.94,0.0,0.63,1.5798,8.1,0.7,25.0
2.18,PP,Pristine,Seawater,0.9,,250.0,4.26,1.45,0.94,0.0,0.63,1.5798,8.1,0.7,25.0
2.82,PS,Pristine,Seawater,1.05,,250.0,4.26,1.45,0.94,0.0,0.63,1.5798,8.1,0.7,25.0
4.61,PE,Pristine,Seawater,0.96,,250.0,4.99,1.33,0.92,0.06,0.0,1.3284,8.1,0.7,25.0
4.45,PP,Pristine,Seawater,0.92,,250.0,4.99,1.33,0.92,0.06,0.0,1.3284,8.1,0.7,25.0
5.12,PS,Pristine,Seawater,1.09,,250.0,4.99,1.33,0.92,0.06,0.0,1.3284,8.1,0.7,25.0
5.2,PE,Pristine,Seawater,0.95,,250.0,5.86,1.49,0.99,0.0,0.0,1.4508,8.1,0.7,25.0
4.96,PP,Pristine,Seawater,0.9,,250.0,5.86,1.49,0.99,0.0,0.0,1.4508,8.1,0.7,25.0
5.3,PS,Pristine,Seawater,1.05,,250.0,5.86,1.49,0.99,0.0,0.0,1.4508,8.1,0.7,25.0
4.56,PE,Pristine,Seawater,0.95,4.37,225.0,4.35,2.06,1.29,0.0,0.29,1.4544,8.1,0.7,18.0
3.29,PP,Pristine,Seawater,0.9,1.56,225.0,4.35,2.06,1.29,0.0,0.29,1.4544,8.1,0.7,18.0
3.36,PVC,Pristine,Seawater,1.4,,225.0,4.35,2.06,1.29,0.0,0.29,1.4544,8.1,0.7,18.0
3.37,PVC,Pristine,Seawater,1.4,1.76,127.0,4.35,2.06,1.29,0.0,0.29,1.4544,8.1,0.7,18.0
4.9,PE,Pristine,DI,0.95,,25.0,5.69,1.75,1.35,0.0,0.17,1.6914,6.0,0.0,21.0
5.4,PE,Pristine,DI,0.95,,25.0,5.69,1.76,1.33,0.0,0.15,1.6914,6.0,0.0,21.0
5.5,PE,Pristine,DI,0.95,,25.0,6.34,1.9,1.48,0.0,0.15,1.8138,6.0,0.0,21.0
