logKMP,Ageing_Status,Water Type,Plastic Density,SSA,Particle Size,LogKow,E,S,A,B,V,PH,Salinity,Temperature
0.9,Pristine,DI,0.95,,149.1,0.73,1.89,2.5,0.21,1.69,2.1813,6.9,0.0,25.0
1.29,Pristine,DI,1.14,,134.2,0.73,1.89,2.5,0.21,1.69,2.1813,6.7,0.0,25.0
0.85,Pristine,DI,0.9,,117.29,-0.34,2.08,2.55,0.65,1.37,1.7225,7.0,0.0,25.0
0.89,Pristine,DI,1.05,,132.05,-0.34,2.08,2.55,0.65,1.37,1.7225,7.1,0.0,25.0
0.97,Pristine,DI,1.4,,86.92,-0.34,2.08,2.55,0.65,1.37,1.7225,7.1,0.0,25.0
0.77,Pristine,DI,0.95,,149.1,-0.34,2.08,2.55,0.65,1.37,1.7225,6.9,0.0,25.0
0.92,Pristine,DI,1.14,,134.2,-0.34,2.08,2.55,0.65,1.37,1.7225,6.7,0.0,25.0
1.61,Pristine,DI,1.14,,134.2,-0.18,3.5,3.6,1.35,3.29,3.0992,6.7,0.0,25.0
0.55,Pristine,Seawater,0.9,,117.29,0.73,1.89,2.5,0.21,1.69,2.1813,8.0,0.0,25.0
0.89,Pristine,Seawater,1.05,,132.05,0.73,1.89,2.5,0.21,1.69,2.1813,8.0,0.0,25.0
0.88,Pristine,Seawater,1.4,,86.92,0.73,1.89,2.5,0.21,1.69,2.1813,8.0,0.0,25.0
0.79,Pristine,Seawater,0.95,,149.1,0.73,1.89,2.5,0.21,1.69,2.1813,8.0,0.0,25.0
0.83,Pristine,Seawater,1.14,,134.2,0.73,1.89,2.5,0.21,1.69,2.1813,8.0,0.0,25.0
0.81,Pristine,Seawater,0.9,,117.29,-0.34,2.08,2.55,0.65,1.37,1.7225,8.0,0.0,25.0
0.85,Pristine,Seawater,1.05,,132.05,-0.34,2.08,2.55,0.65,1.37,1.7225,8.0,0.0,25.0
0.88,Pristine,Seawater,1.4,,86.92,-0.34,2.08,2.55,0.65,1.37,1.7225,8.0,0.0,25.0
0.77,Pristine,Seawater,0.95,,149.1,-0.34,2.08,2.55,0.65,1.37,1.7225,8.0,0.0,25.0
0.87,Pristine,Seawater,1.14,,134.2,-0.34,2.08,2.55,0.65,1.37,1.7225,8.0,0.0,25.0
0.7,Pristine,Seawater,1.14,,134.2,-0.18,3.5,3.6,1.35,3.29,3.0992,8.0,0.0,25.0
5.51,Pristine,Freshwater,0.95,230.8,95.0,5.69,1.76,1.33,0.0,0.15,1.6914,7.0,0.008,20.0
5.45,Pristine,Freshwater,0.95,230.7,95.0,5.69,1.77,1.33,0.0,0.15,1.6914,7.0,0.008,20.0
4.78,Pristine,Freshwater,0.95,233.2,95.0,6.34,1.9,1.48,0.0,0.15,1.8138,7.0,0.008,20.0
4.63,Pristine,Freshwater,0.95,235.8,95.0,6.34,1.9,1.48,0.0,0.15,1.8138,7.0,0.008,20.0
5.63,Pristine,Freshwater,0.95,246.4,95.0,6.34,1.91,1.46,0.0,0.13,1.8138,7.0,0.008,20.0
4.7,Pristine,Freshwater,0.95,251.6,95.0,6.98,2.04,1.61,0.0,0.13,1.9362,7.0,0.008,20.0
5.01,Pristine,Freshwater,0.95,259.4,95.0,6.98,2.04,1.59,0.0,0.11,1.9362,7.0,0.008,20.0
6.04,Pristine,Freshwater,0.95,260.0,95.0,7.62,2.16,1.74,0.0,0.11,2.0586,7.0,0.008,20.0
5.32,Pristine,Freshwater,0.95,262.0,95.0,7.21,2.06,1.59,0.0,0.11,1.9362,7.0,0.008,20.0
7.5,Pristine,Freshwater,0.95,267.4,95.0,7.62,2.18,1.74,0.0,0.11,2.0586,7.0,0.008,20.0
7.27,Pristine,Freshwater,0.95,275.0,95.0,7.86,2.21,1.72,0.0,0.09,2.0586,7.0,0.008,20.0
8.17,Pristine,Freshwater,0.95,277.7,95.0,8.27,2.33,1.87,0.0,0.09,2.181,7.0,0.008,20.0
8.45,Pristine,Freshwater,0.95,280.4,95.0,8.27,2.29,1.87,0.0,0.09,2.181,7.0,0.008,20.0
5.27,Pristine,Freshwater,0.95,251.0,95.0,6.57,1.94,1.44,0.0,0.11,1.8138,7.0,0.008,20.0
5.01,Pristine,Freshwater,0.95,266.6,95.0,7.06,2.11,1.57,0.0,0.09,1.9362,7.0,0.008,20.0
7.34,Pristine,Freshwater,0.95,282.2,95.0,7.7,2.21,1.7,0.0,0.07,2.0586,7.0,0.008,20.0
3.51,Pristine,Seawater,1.4,,225.0,4.35,2.06,1.29,0.0,0.29,1.4544,8.1,0.7,18.0
4.69,Pristine,Seawater,1.4,,225.0,6.79,1.81,1.76,0.0,0.16,2.218,8.1,0.7,18.0
4.99,Pristine,Seawater,1.4,,225.0,8.39,0.64,1.25,0.0,1.02,3.4014,8.1,0.7,18.0
0.99,Pristine,Seawater,0.95,,225.0,4.35,2.06,1.29,0.0,0.29,1.4544,8.1,0.7,18.0
2.67,Pristine,Seawater,0.95,,225.0,6.79,1.81,1.76,0.0,0.16,2.218,8.1,0.7,18.0
5.0,Pristine,Seawater,0.95,,225.0,8.39,0.64,1.25,0.0,1.02,3.4014,8.1,0.7,18.0
4.42,Pristine,Seawater,0.95,,250.0,4.35,2.06,1.29,0.0,0.29,1.4544,8.1,0.7,25.0
3.85,Pristine,Seawater,0.9,,250.0,4.35,2.06,1.29,0.0,0.29,1.4544,8.1,0.7,25.0
5.41,Pristine,Seawater,1.05,,250.0,4.35,2.06,1.29,0.0,0.29,1.4544,8.1,0.7,25.0
5.5,Pristine,Seawater,0.95,,250.0,4.8,2.38,1.55,0.0,0.24,1.5846,8.1,0.7,25.0
4.74,Pristine,Seawater,0.9,,250.0,4.8,2.38,1.55,0.0,0.24,1.5846,8.1,0.7,25.0
5.93,Pristine,Seawater,1.05,,250.0,4.8,2.38,1.55,0.0,0.24,1.5846,8.1,0.7,25.0
