logKd,MPs types,Ageing_Status,Plastic Density,SSA,Particle Size
4.31,PE,Pristine,0.95,0.66,132.5
4.44,PE,Pristine,0.95,0.66,132.5
4.36,PE,Pristine,0.95,0.66,132.5
4.65,PE,Pristine,0.95,0.66,132.5
4.38,PE,Pristine,0.95,0.66,132.5
4.65,PE,Pristine,0.95,0.66,132.5
4.25,PE,Pristine,0.95,0.66,132.5
4.78,PE,Pristine,0.95,0.66,132.5
3.9,PE,Pristine,0.95,5.791,301.0
4.21,PE,Pristine,0.95,5.791,301.0
3.74,PE,Pristine,0.95,5.791,301.0
4.08,PE,Pristine,0.95,5.791,301.0
4.21,PE,Pristine,0.95,5.791,301.0
4.45,PE,Pristine,0.95,5.791,301.0
4.48,PE,Pristine,0.95,5.791,301.0
4.61,PE,Pristine,0.95,5.791,301.0
4.55,PE,Pristine,0.95,5.791,301.0
4.64,PE,Pristine,0.95,5.791,301.0
4.6,PE,Pristine,0.95,5.791,301.0
4.81,PE,Pristine,0.95,5.791,301.0
1.16,PET,Pristine,1.38,0.864,150.0
1.2,PET,Pristine,1.38,0.864,150.0
1.17,PET,Pristine,1.38,0.864,150.0
1.61,PET,Pristine,1.38,0.864,150.0
1.48,PET,Pristine,1.38,0.864,150.0
1.39,PET,Pristine,1.38,0.864,150.0
1.16,PET,Pristine,1.38,0.864,150.0
0.89,PET,Pristine,1.38,0.864,150.0
0.8,PET,Pristine,1.38,0.864,150.0
4.01,PS,Pristine,1.05,,0.2
3.71,PS,Pristine,1.05,,0.5
1.18,PE,Pristine,0.94,,150.0
3.26,PE,Pristine,0.94,,150.0
3.19,PE,Pristine,0.94,,150.0
0.76,PE,Pristine,0.94,,150.0
2.59,PE,Pristine,0.94,,150.0
3.91,PE,Pristine,0.94,,150.0
0.86,PE,Pristine,0.94,,150.0
1.81,PE,Pristine,0.94,,150.0
0.96,PE,Pristine,0.94,,150.0
2.1,PE,Pristine,0.94,,150.0
3.36,PE,Pristine,0.94,,150.0
3.16,PE,Pristine,0.94,,150.0
1.67,PE,Pristine,0.94,,150.0
1.47,PE,Pristine,0.94,,150.0
2.42,PE,Pristine,0.94,,150.0
2.23,PE,Pristine,0.94,,150.0
3.2,PE,Pristine,0.94,,150.0
2.55,PE,Pristine,0.94,,150.0
0.66,PS,Pristine,1.05,,150.0
4.02,PS,Pristine,1.05,,150.0
